href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2474,mandarin93,female,"['shanxi,', 'china']","mandarin
(cmn)","['french', '']","['22,', 'female', '']",6.0,academic,usa,0.3,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2477,mandarin94,male,"['mongolia,', 'china']","mandarin
(cmn)",['none'],"['23,', 'male', '']",8.0,academic,usa,0.3,23.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2483,mandarin95,female,"['hubei,', 'china']","mandarin
(cmn)","['arabic', '']","['29,', 'female', '']",11.0,academic,usa,2.0,29.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2494,mandarin96,female,"['shandong,', 'china']","mandarin
(cmn)",['none'],"['27,', 'female', '']",9.0,academic,usa,5.4,27.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2538,mandarin103,female,"['sichuan,', 'china']","mandarin
(cmn)","['french', '']","['27,', 'female', '']",12.0,academic,usa,1.0,27.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2539,mandarin104,female,"['beijing,', 'china']","mandarin
(cmn)",['none'],"['29,', 'female', '']",7.0,academic,usa,2.0,29.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2540,mandarin105,female,"['mongolia,', 'china']","mandarin
(cmn)","['cantonese', 'korean', '']","['26,', 'female', '']",12.0,academic,usa,2.0,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2542,mandarin106,female,"['shanxi,', 'china']","mandarin
(cmn)",['none'],"['25,', 'female', '']",2.0,academic,usa,5.0,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2564,mandarin112,male,"['tianjin,', 'china']","mandarin
(cnm)",['none'],"['26,', 'male', '']",6.0,academic,usa,0.8,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2566,mandarin113,male,"['mongolia,', 'china']","mandarin
(cmn)",['none'],"['29,', 'male', '']",10.0,academic,usa,0.8,29.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2599,mandarin114,female,"['beijing,', 'china']","mandarin
(cmn)",['none'],"['19,', 'female', '']",13.0,academic,usa,6.0,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2677,mandarin116,male,"['mongolia,', 'china']","mandarin
(cmn)","['mongolian', 'french', '']","['24,', 'male', '']",9.0,academic,usa,1.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2678,mandarin117,male,"['jilin,', 'china']","mandarin
(cmn)",['none'],"['25,', 'male', '']",9.0,academic,usa,6.0,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2679,mandarin118,female,"['shanxi,', 'china']","mandarin
(cmn)",['none'],"['24,', 'female', '']",9.0,academic,usa,1.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2699,mandarin119,female,"['jilin,', 'china']","mandarin
(cmn)",['none'],"['24,', 'female', '']",7.0,academic,usa,1.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2700,mandarin120,male,"['hebei,', 'china']","mandarin
(cmn)",['none'],"['24,', 'male', '']",10.0,academic,usa,0.1,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2708,mandarin121,female,"['anhui,', 'china']","mandarin
(cmn)",['none'],"['30,', 'female', '']",13.0,academic,usa,5.0,30.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2711,mandarin122,male,"['shanxi,', 'china']","mandarin
(cmn)",['none'],"['26,', 'male', '']",6.0,academic,usa,1.0,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2714,mandarin123,male,"['sichuan,', 'china']","mandarin
(cmn)",['none'],"['21,', 'male', '']",6.0,academic,usa,1.0,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2716,mandarin124,female,"['chongqing,', 'china']","mandarin
(cmn)",['none'],"['33,', 'female', '']",13.0,academic,usa,3.2,33.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2719,mandarin125,female,"['jilin,', 'china']","mandarin
(cmn)",['none'],"['24,', 'female', '']",6.0,academic,usa,1.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2726,mandarin126,male,"['shanxi,', 'china']","mandarin
(cmn)","['italian', '']","['24,', 'male', '']",8.0,academic,usa,2.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2748,mandarin127,male,"['liaoning,', 'china']","mandarin
(cmn)","['cantonese', 'dutch', '']","['25,', 'male', '']",15.0,academic,usa,3.3,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2772,mandarin128,female,"['zhejiang,', 'china']","mandarin
(cmn)",['none'],"['21,', 'female', '']",7.0,academic,usa,2.5,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2773,mandarin129,female,"['henan,', 'china']","mandarin
(cmn)",['none'],"['22,', 'female', '']",12.0,academic,usa,0.3,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2798,mandarin130,female,"['shandong,', 'china']","mandarin
(cmn)",['none'],"['22,', 'female', '']",7.0,academic,usa,6.0,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2836,mandarin131,male,"['guangdong,', 'china']","mandarin
(cmn)","['cantonese', '']","['20,', 'male', '']",6.0,academic,usa,0.8,20.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2837,mandarin132,female,"['hubei,', 'china']","mandarin
(cmn)",['none'],"['21,', 'female', '']",2.0,academic,usa,5.0,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2876,mandarin133,female,"['beijing,', 'china']","mandarin
(cmn)",['none'],"['26,', 'female', '']",10.0,academic,usa,3.0,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2877,mandarin134,male,"['henan,', 'china']","mandarin
(cmn)",['none'],"['27,', 'male', '']",9.0,academic,usa,10.0,27.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2878,mandarin135,male,"['hebei,', 'china']","mandarin
(cmn)",['none'],"['25,', 'male', '']",9.0,academic,usa,7.0,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2879,mandarin136,female,"['liaoning,', 'china']","mandarin
(cmn)",['none'],"['20,', 'female', '']",10.0,academic,usa,2.0,20.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2880,mandarin137,female,"['shanxi,', 'china']","mandarin
(cmn)",['none'],"['20,', 'female', '']",10.0,academic,usa,1.0,20.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2881,mandarin138,female,"['chongqing,', 'china']","mandarin
(cmn)",['none'],"['21,', 'female', '']",7.0,academic,usa,0.1,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2882,mandarin139,male,"['yunnan,', 'china']","mandarin
(cmn)",['none'],"['23,', 'male', '']",14.0,academic,usa,3.0,23.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2883,mandarin140,male,"['jiangsu,', 'china']","mandarin
(cmn)",['none'],"['22,', 'male', '']",7.0,academic,usa,0.2,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2884,mandarin141,female,"['beijing,', 'china']","mandarin
(cmn)",['none'],"['21,', 'female', '']",6.0,academic,usa,1.0,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2885,mandarin142,female,"['sichuan,', 'china']","mandarin
(cmn)",['none'],"['23,', 'female', '']",6.0,academic,usa,1.0,23.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2886,mandarin143,female,"['anhui,', 'china']","mandarin
(cmn)",['none'],"['25,', 'female', '']",10.0,academic,usa,0.2,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2887,mandarin144,male,"['anhui,', 'china']","mandarin
(cmn)",['none'],"['20,', 'male', '']",10.0,academic,usa,0.1,20.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2888,mandarin145,female,"['shandong,', 'china']","mandarin
(cmn)",['none'],"['21,', 'female', '']",4.0,academic,usa,1.0,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2890,mandarin146,female,"['shanxi,', 'china']","mandarin
(cmn)",['none'],"['24,', 'female', '']",6.0,academic,usa,2.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2891,mandarin147,female,"['henan,', 'china']","mandarin
(cmn)",['none'],"['19,', 'female', '']",9.0,academic,usa,0.1,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2892,mandarin148,female,"['henan,', 'china']","mandarin
(cmn)",['none'],"['19,', 'female', '']",6.0,academic,usa,0.1,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2893,mandarin149,female,"['fujian,', 'china']","mandarin
(cmn)",['none'],"['19,', 'female', '']",6.0,academic,usa,0.1,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2970,mandarin153,male,"['pingtung,', 'taiwan']","mandarin
(cmn)","['taiwanese', '']","['22,', 'male', '']",6.0,academic,usa,0.2,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2990,mandarin154,female,"['taipei,', 'taiwan']","mandarin
(cmn)",['none'],"['22,', 'female', '']",4.0,academic,usa,0.2,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=3005,mandarin155,female,"['hebei,', 'china']","mandarin
(cmn)",['none'],"['51,', 'female', '']",9.0,academic,usa,23.0,51.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=3006,mandarin156,female,"['kaohsiung,', 'taiwan']","mandarin
(cmn)","['taiwanese', '']","['37,', 'female', '']",12.0,academic,usa,1.0,37.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=3029,mandarin157,female,"['shandong,', 'china']","mandarin
(cmn)",['none'],"['58,', 'female', '']",11.0,academic,usa,33.0,58.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=11,arabic1,female,"['saudi', 'arabia']","arabic
(ars)",['none'],"['38,', 'female', '']",12.0,academic,usa,4.0,38.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=16,arabic2,male,"['damascus,', 'syria']","arabic
(abv)",['none'],"['18,', 'male', '']",2.5,naturalistic,usa,3.0,18.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=17,arabic3,male,"['doha,', 'qatar']","arabic
(afb)",['none'],"['24,', 'male', '']",9.0,academic,usa,1.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=18,arabic4,male,"['arab', 'emirates']","arabic
(afb)","['french', '']","['19,', 'male', '']",6.0,academic,usa,0.6,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=19,arabic5,female,"['casablanca,', 'morocco']","arabic
(ary)","['french', '']","['19,', 'female', '']",15.0,academic,usa,0.6,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=21,arabic7,female,"['casablanca,', 'morocco']","arabic
(ary)","['french', '']","['18,', 'female', '']",15.0,academic,usa,0.1,18.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=22,arabic8,male,"['casablanca,', 'morocco']","arabic
(ary)","['french', '']","['21,', 'male', '']",17.0,academic,usa,0.7,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=23,arabic9,female,"['jerusalem,', 'israel']","arabic
(ajp)",['none'],"['28,', 'female', '']",4.0,academic,usa,12.0,28.0
